Subjects,Condition,Trial,Leg,Time,StepLength,StepTime,LeadingLimbAngle,TrailingLimbAngle,PeakPropulsion,PeakBraking,PropulsionImpulse,BrakingImpulse,StepLength_Norm
GR0330,Baseline1125,Baseline1125,Right,first30,0.57646795,0.569333333,28.13538521,-18.00707905,0.196264648,-0.167763841,0.028933699,-0.02735983,0.626595598
GR0331,Baseline1125,Baseline1125,Right,first30,0.545523881,0.543,30.40661061,-16.65335065,0.166456517,-0.097422992,0.032147642,-0.017826825,0.612948181
GR0334,Baseline1125,Baseline1125,Right,first30,0.523976661,0.558333333,32.55678281,-19.47670206,0.183644054,-0.175133202,0.031324369,-0.030602517,0.663261596
GR0335,Baseline1125,Baseline1125,Right,first30,0.55075794,0.545,30.17207961,-18.75142399,0.210083959,-0.176748738,0.03443232,-0.028150278,0.640416209
GR0336,Baseline1125,Baseline1125,Right,first30,0.542037431,0.525333333,28.19347136,-18.70500564,0.185315313,-0.181098811,0.030311481,-0.026255497,0.612471673
MLR049,Baseline1125,Baseline1125,Right,first30,0.584947749,0.625,32.22177979,-19.75454191,0.189837043,-0.154219901,0.040903265,-0.031285988,0.661705598
MLR050,Baseline1125,Baseline1125,Right,first30,0.57259026,0.561,26.95084334,-19.41592288,0.162714304,-0.151833257,0.027081161,-0.026967973,0.641917332
GR0326,Baseline150,Baseline150,Right,first30,0.686061365,0.520333333,34.37856621,-23.96764359,0.251833946,-0.202495641,0.041895474,-0.032052926,0.836660201
GR0327,Baseline150,Baseline150,Right,first30,0.556553393,0.445,23.04753924,-23.53913954,0.177797205,-0.163244633,0.024107925,-0.018021727,0.695691741
GR0328,Baseline150,Baseline150,Right,first30,0.623960786,0.484666667,30.31633594,-21.38761935,0.254312054,-0.2648053,0.033385973,-0.033551052,0.779950983
GR0329,Baseline150,Baseline150,Right,first30,0.658292472,0.505666667,32.74906461,-23.19689544,0.248198129,-0.279386601,0.031259363,-0.040824629,0.79312346
GR0330,Baseline150,Baseline150,Right,first30,0.690444123,0.522333333,30.92343972,-22.69086906,0.249940163,-0.275522067,0.035129903,-0.035878316,0.750482742
GR0331,Baseline150,Baseline150,Right,first30,0.654727767,0.504,33.41678872,-21.55168487,0.241323979,-0.197062852,0.038109976,-0.032014074,0.735649176
GR0334,Baseline150,Baseline150,Right,first30,0.612898059,0.506666667,34.89869484,-24.4824694,0.275839688,-0.225096594,0.038756339,-0.032876331,0.775820328
GR0335,Baseline150,Baseline150,Right,first30,0.646533718,0.491,33.01886647,-21.92011276,0.274188516,-0.2257398,0.037265347,-0.029722425,0.751783393
GR0336,Baseline150,Baseline150,Right,first30,0.654681018,0.492666667,31.76937861,-24.37790793,0.26557053,-0.261176526,0.038933743,-0.032990063,0.739752563
MLR049,Baseline150,Baseline150,Right,first30,0.656888531,0.541666667,33.83648025,-22.17559658,0.241288561,-0.218077902,0.044296095,-0.033952186,0.743086574
MLR050,Baseline150,Baseline150,Right,first30,0.675158693,0.514666667,29.44083602,-23.5730382,0.229874234,-0.204040935,0.033196279,-0.032735212,0.756904364
GR0326,Decelerate,DeceleratingHS,Right,first30,0.6322939,0.661666667,33.22371331,-21.57718533,0.228949229,-0.092534279,0.047263683,-0.016457213,0.771090122
GR0327,Decelerate,DeceleratingHS,Right,first30,0.530063756,0.530333333,24.28716027,-17.78678923,0.170105852,-0.112890983,0.019581903,-0.020522697,0.662579695
GR0328,Decelerate,DeceleratingHS,Right,first30,0.474746249,0.47,22.28667178,-14.83617979,0.13721706,-0.157339175,0.013357805,-0.02882534,0.593432811
GR0329,Decelerate,DeceleratingHS,Right,first30,0.663461939,0.634666667,33.01160877,-19.44319196,0.15428811,-0.237682767,0.02832247,-0.045284938,0.799351734
GR0330,Decelerate,DeceleratingHS,Right,first30,0.68825102,0.606,30.16173743,-18.20969353,0.199317475,-0.185748944,0.02642059,-0.043548635,0.748098935
GR0331,Decelerate,DeceleratingHS,Right,first30,0.557160526,0.590333333,31.94435023,-18.16788678,0.189420458,-0.060223934,0.033616733,-0.013659227,0.626023063
GR0334,Decelerate,DeceleratingHS,Right,first30,0.578041073,0.567666667,32.296933,-20.07223008,0.180568338,-0.124731474,0.022858673,-0.035712931,0.731697561
GR0335,Decelerate,DeceleratingHS,Right,first30,0.564184568,0.556,29.3399603,-17.20876451,0.218866204,-0.124911746,0.025051203,-0.029765792,0.656028567
GR0336,Decelerate,DeceleratingHS,Right,first30,0.641155788,0.557,27.85256549,-21.15639961,0.173559883,-0.162043516,0.023019217,-0.029488556,0.724469817
MLR049,Decelerate,DeceleratingHS,Right,first30,0.567155998,0.604,31.37711993,-18.95341222,0.202063606,-0.194880819,0.042686506,-0.0318292,0.641579183
MLR050,Decelerate,DeceleratingHS,Right,first30,0.542294853,0.643333333,26.54129972,-25.08477574,0.216740998,-0.099252297,0.037162768,-0.026826035,0.607953871
GR0326,Fast,FastHS,Right,first30,0.80545434,0.608,35.89779432,-16.45611742,0.160286898,-0.240186836,0.039770561,-0.043989671,0.98226139
GR0327,Fast,FastHS,Right,first30,0.545131538,0.487666667,22.71602937,-14.18357471,0.132302784,-0.183514743,0.018546857,-0.02010569,0.681414423
GR0328,Fast,FastHS,Right,first30,0.559184856,0.481333333,26.91378311,-7.362131166,0.079080639,-0.230711583,0.009792193,-0.027577836,0.69898107
GR0329,Fast,FastHS,Right,first30,0.661624194,0.594333333,32.88721635,-18.90622813,0.144725523,-0.291067102,0.036502944,-0.042920175,0.797137583
GR0330,Fast,FastHS,Right,first30,0.559799859,0.595333333,29.1249473,-18.39635202,0.186430362,-0.14801864,0.046374789,-0.019019604,0.608478108
GR0331,Fast,FastHS,Right,first30,0.615490753,0.550666667,31.16578509,-15.66562002,0.10816137,-0.120441028,0.023484369,-0.020800972,0.691562644
GR0334,Fast,FastHS,Right,first30,0.584436212,0.572666667,33.43293937,-14.94489456,0.15871107,-0.198237551,0.030293269,-0.026662766,0.739792673
GR0335,Fast,FastHS,Right,first30,0.598448321,0.561,31.65671654,-12.36380618,0.132027507,-0.180554277,0.02919712,-0.018871562,0.695870141
GR0336,Fast,FastHS,Right,first30,0.628499766,0.533333333,26.39472083,-16.06216175,0.132645423,-0.212531711,0.034427242,-0.021976611,0.710169227
MLR049,Fast,FastHS,Right,first30,0.576349912,0.673666667,32.35697187,-22.9866925,0.229023191,-0.154258127,0.047280163,-0.030748951,0.651979538
MLR050,Fast,FastHS,Right,first30,0.662607908,0.572666667,28.52079067,-15.70548721,0.127872101,-0.201364411,0.033818392,-0.031606411,0.742833978
GR0326,Open Loop - Post,OpenLoopPost,Right,first30,0.625917786,0.567,34.73165442,-16.96360202,0.219332253,-0.149231416,0.041776593,-0.030406139,0.763314373
GR0327,Open Loop - Post,OpenLoopPost,Right,first30,0.525588631,0.500666667,24.71324499,-17.56751308,0.172913678,-0.177282821,0.028164312,-0.024527076,0.656985789
GR0328,Open Loop - Post,OpenLoopPost,Right,first30,0.472358209,0.467333333,25.0484758,-17.46455089,0.182802154,-0.207413491,0.024720295,-0.031602799,0.590447761
GR0329,Open Loop - Post,OpenLoopPost,Right,first30,0.581468199,0.569333333,30.40171859,-20.78388456,0.191143416,-0.213363392,0.030838082,-0.043717738,0.700564095
GR0330,Open Loop - Post,OpenLoopPost,Right,first30,0.624518651,0.579,27.15420295,-16.75944899,0.200203434,-0.174930176,0.024826843,-0.035206312,0.678824621
GR0331,Open Loop - Post,OpenLoopPost,Right,first30,0.58316055,0.557666667,29.38775216,-16.09226013,0.109252458,-0.09087027,0.023415462,-0.018258022,0.655236573
GR0334,Open Loop - Post,OpenLoopPost,Right,first30,0.522639142,0.566666667,33.23424566,-23.40534652,0.242557509,-0.157147145,0.038886113,-0.033364303,0.661568534
GR0335,Open Loop - Post,OpenLoopPost,Right,first30,0.51688194,0.540333333,28.95017122,-20.02317266,0.242142425,-0.139583578,0.032407791,-0.026112459,0.601025512
GR0336,Open Loop - Post,OpenLoopPost,Right,first30,0.624277855,0.522666667,28.17011378,-16.75904128,0.160580667,-0.221529536,0.038565763,-0.026424397,0.705398706
MLR049,Open Loop - Post,OpenLoopPost,Right,first30,0.584433022,0.656666667,32.43323538,-21.45245141,0.205077025,-0.185151325,0.050458326,-0.029513488,0.661123328
MLR050,Open Loop - Post,OpenLoopPost,Right,first30,0.626555275,0.549666667,30.35058916,-17.20268423,0.166915739,-0.222528697,0.037780251,-0.036643446,0.702416228
GR0326,Open Loop - Pre,OpenLoopPre,Right,first30,0.587118201,0.582,32.90115393,-20.21732833,0.175316143,-0.130618304,0.030739471,-0.024413961,0.715997806
GR0327,Open Loop - Pre,OpenLoopPre,Right,first30,0.423267135,0.505333333,20.38748062,-24.51305985,0.188676974,-0.143672608,0.037886554,-0.016163812,0.529083919
GR0328,Open Loop - Pre,OpenLoopPre,Right,first30,0.526561063,0.531666667,27.25455142,-19.02381024,0.179585628,-0.208390341,0.027647462,-0.039719514,0.658201329
GR0329,Open Loop - Pre,OpenLoopPre,Right,first30,0.564331267,0.599,31.42920474,-21.66823163,0.184618266,-0.202542766,0.030213296,-0.040314629,0.679917189
